seg_id,time_to_failure
seg_00030f,4.611581893
seg_0012b5,4.949884673
seg_00184e,4.43198543
seg_003339,7.73900104
seg_0042cc,6.6433327
seg_004314,2.560467332
seg_004cd2,6.955891394
seg_004ee5,2.652480799
seg_004f1f,4.721599869
seg_00648a,2.579347591
seg_006e4a,2.392746435
seg_007a37,4.949434225
seg_00a37e,4.101592329
seg_00be11,3.100778127
seg_00c35b,8.301453625
seg_00cc91,5.045957234
seg_00e5f7,6.26252762
seg_00f3b9,4.595595835
seg_010eab,6.396716615
seg_0125d9,5.255740325
seg_0144cb,5.435355992
seg_0165c6,10.74077738
seg_016913,5.283079183
seg_016cdb,4.759601177
seg_017314,7.59168459
seg_01a8dc,5.995367534
seg_01c775,7.016040831
seg_01ecb0,4.75203952
seg_02042f,2.126966968
seg_025e78,5.439901853
seg_032822,6.409138753
seg_0339ca,3.4200471
seg_037461,4.722969346
seg_038879,6.781747914
seg_03d386,2.235169134
seg_03d63e,5.306119271
seg_03d680,7.578796315
seg_03f380,4.448373427
seg_0445d7,4.228390457
seg_046c28,2.59650497
seg_0488a1,6.21311442
seg_049957,8.706123531
seg_04a696,7.969320365
seg_04ae38,5.022167709
seg_04b87a,7.541731083
seg_04cceb,8.65244865
seg_04ee93,7.703782677
seg_04fd93,5.35280135
seg_0536c9,4.81271258
seg_055127,4.998014344
seg_05a1b0,5.195309668
seg_05a4ad,7.502942073
seg_05b66a,10.55483534
seg_05bef4,2.202832273
seg_05e0d7,3.033303551
seg_05f126,7.368342642
seg_05f9d6,6.143223261
seg_060ce4,2.654196953
seg_061a33,6.938418253
seg_0620e6,6.008923692
seg_063865,4.705757778
seg_065588,3.32253755
seg_06893f,1.543627811
seg_06b8c9,5.254579994
seg_06bbc5,3.072302567
seg_06d4a2,4.025891987
seg_06d7ba,3.521920348
seg_070bb0,1.700624559
seg_071067,2.941253739
seg_073696,8.365319003
seg_075340,4.741861913
seg_075f77,3.354584664
seg_0775a7,5.674562111
seg_077b7e,5.145956396
seg_079e34,5.189113704
seg_07c815,5.962064314
seg_07cd72,4.921862044
seg_07f37c,3.624423913
seg_07f8df,4.788624135
seg_07fc6d,7.61970958
seg_086a61,8.224229587
seg_0870ab,5.099157748
seg_0879a8,7.878459591
seg_08b136,7.078548719
seg_08f441,4.603232566
seg_08fd5b,3.777543157
seg_091c9d,8.643716018
seg_093a0a,7.461567321
seg_0968f1,7.656321866
seg_0981f3,2.251352253
seg_09dd59,7.082458131
seg_09ed4e,10.54467281
seg_09f0ff,5.145007881
seg_0a0fbb,9.085491199
seg_0a1bd0,5.19113368
seg_0a42ba,8.042394667
seg_0a45a1,3.946587874
seg_0a97c4,5.36660317
seg_0aa0fb,6.563308359
seg_0b07c7,5.602529244
seg_0b082e,7.544534706
seg_0b32f7,2.448296804
seg_0b3b94,5.816688224
seg_0b48c4,3.532457221
seg_0b4b24,5.281811613
seg_0b54ac,3.821765026
seg_0b76f5,9.405867879
seg_0b9ad8,6.322855962
seg_0b9ba3,10.09904163
seg_0ba210,10.07320235
seg_0ba585,4.791247913
seg_0bb5fd,5.461988111
seg_0bc877,3.411067203
seg_0be6ee,2.301664922
seg_0c12cc,7.268991433
seg_0c1d3a,3.962951259
seg_0c247b,5.753794961
seg_0c3943,2.59659475
seg_0c4e31,2.402726138
seg_0c74cf,4.195701612
seg_0c8502,7.370649188
seg_0c89ce,6.200440554
seg_0c9aa8,8.258424396
seg_0cb81b,2.838564893
seg_0cca14,5.377368411
seg_0cdcc8,1.532089001
seg_0cf651,2.581178298
seg_0d0250,3.202321765
seg_0d04b9,5.82345632
seg_0d13a7,4.389749154
seg_0d434c,8.179507956
seg_0d540e,3.018906369
seg_0d663a,7.548683729
seg_0d6d68,5.808899529
seg_0d762e,7.113482587
seg_0d833c,7.411184085
seg_0dae4b,3.147125897
seg_0dc38f,2.64459714
seg_0dcc40,5.670712201
seg_0df469,4.372770036
seg_0df75c,7.341382289
seg_0dfe8c,3.443805662
seg_0e1370,1.710637675
seg_0e1fbe,5.065549127
seg_0e3739,5.141668915
seg_0e3d44,2.426133938
seg_0e3ed2,2.35506719
seg_0e4833,10.25559467
seg_0e7cc5,5.427447727
seg_0e8b79,8.242519592
seg_0e9987,5.055173929
seg_0e9bb3,7.653256545
seg_0eb333,1.963343001
seg_0ebfd9,5.124936463
seg_0f565c,4.756354916
seg_0f74a3,6.463334071
seg_0f8961,8.661565235
seg_0fc67a,10.05369487
seg_0fca83,5.328609307
seg_0fd3ff,2.487070209
seg_1010ad,7.009310055
seg_103b32,4.189027461
seg_105cd9,4.243347181
seg_1084af,6.894294413
seg_10a595,4.946788059
seg_10c09d,8.586653119
seg_10f3a6,5.331655608
seg_112b81,8.151978775
seg_1144bc,11.07842362
seg_114b79,5.224417312
seg_115617,2.414537225
seg_115a92,4.414168241
seg_11647f,3.884787535
seg_117278,4.955162601
seg_117ff4,4.891725664
seg_11860f,4.132141604
seg_1201e8,5.532801032
seg_121446,7.994447484
seg_121cba,4.265166952
seg_122ba9,4.674068883
seg_123dd4,6.703659144
seg_12ac20,10.53101692
seg_12b9ba,6.485787291
seg_12ee6e,3.826834421
seg_130e17,2.452753218
seg_13468a,5.288072534
seg_136285,4.766772192
seg_136695,6.627272346
seg_137f8a,8.300851294
seg_138807,4.831805634
seg_13c2f0,5.220919894
seg_13e25f,6.1417667
seg_140bc5,3.000235155
seg_141f34,10.06675605
seg_146926,9.113819125
seg_148698,6.750230902
seg_14ad27,1.918717723
seg_14c054,8.282130949
seg_14c371,7.48955859
seg_14c435,4.211071805
seg_14c89d,5.395500865
seg_14c8ce,7.347795801
seg_14d1d3,5.732130674
seg_14f5f0,7.05147264
seg_151368,6.120431711
seg_151d92,2.145739957
seg_153d6a,9.045308095
seg_154361,7.307305649
seg_1562cb,6.521408575
seg_158691,4.147748662
seg_158764,6.543075645
seg_15adff,5.234651968
seg_15bf25,7.416696943
seg_15c9f9,2.649993596
seg_161aeb,7.69416752
seg_161f5f,2.75614607
seg_162fc4,6.15406939
seg_16566c,4.685914655
seg_166f70,7.215946484
seg_168d1c,6.863897063
seg_16a270,7.215532239
seg_16c3a7,4.671641791
seg_17067e,4.718474513
seg_170684,8.767217654
seg_170a0c,8.53607837
seg_176542,7.51872136
seg_17799c,5.193335315
seg_179d90,7.753903673
seg_17adc0,3.509757954
seg_17d1ff,4.930322465
seg_17e596,7.25933339
seg_180481,4.548640697
seg_18096a,7.526004874
seg_1815fe,8.713877935
seg_1827c5,6.87926734
seg_184222,4.435087575
seg_185ad6,8.857529342
seg_18d1d0,4.681996715
seg_18d307,2.278664738
seg_18f633,2.461776534
seg_18f853,5.242062003
seg_18fb65,3.607632915
seg_193404,10.88100325
seg_19515c,5.019103717
seg_195eda,5.666729025
seg_1969c8,5.943453767
seg_19b08e,3.809976862
seg_19b9dd,6.11101384
seg_19e1ff,6.848047728
seg_19ec5c,9.771130884
seg_1a0e94,10.26945156
seg_1a0eca,5.099307264
seg_1a671a,4.784874332
seg_1a791c,5.347034158
seg_1a8e06,3.271046327
seg_1a8f0d,3.442649394
seg_1a8f2c,5.930297346
seg_1abcaf,2.201766852
seg_1ac9e2,3.951935665
seg_1ae362,6.423998712
seg_1afa29,2.343097531
seg_1b08a4,4.739246256
seg_1b1ad8,4.479242279
seg_1b2298,7.767858768
seg_1b78af,4.865051391
seg_1baf33,4.205404176
seg_1bd38e,8.703966233
seg_1bf7b3,3.129926235
seg_1c401b,7.2255459
seg_1c4c5b,5.534696933
seg_1c4e72,5.06354202
seg_1c849d,3.987447435
seg_1c904f,2.834107166
seg_1c929e,5.095117588
seg_1cb942,8.058243016
seg_1cd352,5.121806419
seg_1cf1b5,4.558593779
seg_1d044c,5.097097014
seg_1d11e5,3.702455969
seg_1d596d,4.663299805
seg_1d980f,3.7801885
seg_1da819,5.42832955
seg_1db443,5.637478411
seg_1db8e8,9.633383417
seg_1dec9c,9.819708312
seg_1e0523,3.290028598
seg_1e0b82,7.722272792
seg_1e572b,9.243934963
seg_1e617a,3.221176516
seg_1e61d6,3.21053593
seg_1e677e,4.503294568
seg_1eae76,5.952673189
seg_1ebe6b,4.55679011
seg_1ece48,5.42619921
seg_1eeb8f,2.27305124
